Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret,NASDAQ,NASDAQ_Ret
2016-03-18,111.45,552.08,24.71,101.12,755.41,0.003873176004323575,-0.013156013156013224,0.001215559157212276,0.014039310068191035,-0.004047568821854308,4795.65,0.004326710631854747
2016-03-21,111.85,553.98,24.71,101.06,762.16,0.0035890533871689727,0.0034415302130126326,0.0,-0.0005933544303797778,0.008935544935862572,4808.87,0.002756664894227212
2016-03-22,112.25,560.48,24.9,99.84,760.05,0.0035762181493070866,0.0117332755695152,0.007689194658033083,-0.012072036414011444,-0.002768447570064003,4821.66,0.0026596684876072363
2016-03-23,112.54,569.63,24.76,99.59,757.56,0.002583518930957762,0.0163252926063373,-0.005622489959839272,-0.0025040064102563875,-0.003276100256562109,4768.86,-0.01095058548300798
2016-03-24,113.05,582.95,24.65,98.36,754.84,0.004531722054380571,0.02338359988062444,-0.004442649434572066,-0.012350637614218285,-0.003590474681873235,4773.5,0.0009729788670669315
2016-03-28,113.69,579.87,24.54,101.21,753.28,0.0056612118531622615,-0.005283471995883082,-0.004462474645030357,0.028975193167954494,-0.002066663133909241,4766.79,-0.0014056771760763143
2016-03-29,116.14,593.86,25.12,104.13,765.89,0.02154982848095699,0.02412609722868919,0.023634881825590925,0.02885090406086355,0.016740123194562532,4846.62,0.01674711913048399
2016-03-30,114.7,598.69,25.56,102.19,768.34,-0.012398828999483413,0.008133230054221618,0.017515923566878918,-0.018630557956400676,0.003198892791393071,4869.29,0.0046774865782752695
2016-03-31,114.1,593.64,25.42,102.23,762.9,-0.0052310374891020315,-0.008435083265128984,-0.0054773082942095605,0.00039142773265488096,-0.007080198870291877,4869.85,0.00011500649992091105
2016-04-01,116.06,598.5,25.66,105.7,769.67,0.017177914110429567,0.00818677986658578,0.009441384736427859,0.033943069549056126,0.008874033294009598,4914.54,0.009176874031027626
2016-04-04,112.55,593.19,25.92,104.35,765.12,-0.030242977770118976,-0.008872180451127698,0.01013250194855808,-0.012771996215704906,-0.005911624462431875,4891.8,-0.004627086156588356
2016-04-05,112.22,586.14,25.62,104.94,758.57,-0.002932030208796066,-0.011884893541698416,-0.01157407407407407,0.005654048873981799,-0.00856074864073608,4843.93,-0.00978576393147712
