Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret
2017-03-08,137.72,850.5,33.05,140.32,853.64,0.0030589949016750495,0.0052953830878703645,-0.003918022905364804,-0.007848405571660999,0.002925453797802957
2017-03-09,138.24,853.0,32.98,140.53,857.84,0.0037757769387163354,0.0029394473838917357,-0.002118003025718629,0.0014965792474344042,0.004920106836605598
2017-03-10,138.79,852.46,33.09,140.89,861.41,0.0039785879629627985,-0.0006330597889799838,0.0033353547604610956,0.0025617305913328003,0.0041616152196213285
2017-03-13,139.6,854.59,33.1,143.52,864.58,0.005836155342603844,0.002498650963095095,0.0003022061045632185,0.01866704521257745,0.0036800130019387645
2017-03-14,139.32,852.53,33.05,143.19,865.91,-0.0020057306590257618,-0.002410512643489904,-0.0015105740181270422,-0.00229933110367897,0.0015383191838811427
2017-03-15,139.72,852.97,33.4,145.25,868.39,0.0028710881424061085,0.0005161108699986983,0.010590015128593144,0.01438647950275862,0.0028640389878855643
2017-03-16,139.99,853.42,33.46,144.39,870.0,0.001932436301173901,0.0005275683787235863,0.001796407185628901,-0.005920826161790127,0.0018540056886882095
2017-03-17,139.84,852.31,33.29,145.11,872.37,-0.001071505107507753,-0.0013006491528204656,-0.005080693365212219,0.004986494909619887,0.0027241379310345426
2017-03-20,139.94,856.97,33.64,145.83,867.91,0.0007151029748282411,0.005467494221586211,0.010513667768098589,0.004961753152780579,-0.0051125096002843096
2017-03-21,138.51,843.2,33.25,142.42,850.14,-0.01021866514220382,-0.016068240428486424,-0.011593341260404344,-0.023383391620380056,-0.020474473159659445
2017-03-22,139.59,848.06,33.63,142.65,849.8,0.007797270955165692,0.0057637571157493905,0.011428571428571566,0.001614941721668428,-0.0003999341284964819
2017-03-23,139.53,847.38,33.51,141.84,839.65,-0.0004298302170643309,-0.0008018300591938754,-0.003568242640499708,-0.005678233438485836,-0.011943986820428298
2017-03-24,140.34,845.61,33.44,142.02,835.14,0.005805203182111418,-0.0020887913332860997,-0.002088928678006585,0.0012690355329949554,-0.005371285654737101
2017-03-27,140.32,846.82,33.5,144.06,838.51,-0.0001425110446060529,0.0014309196911106437,0.0017942583732057926,0.014364174059991575,0.004035251574586285
2017-03-28,141.76,856.0,34.2,145.17,840.63,0.010262257696693311,0.01084055643466142,0.020895522388059806,0.007705122865472536,0.002528294236204598
2017-03-29,142.65,874.32,34.27,146.47,849.87,0.006278216704288964,0.02140186915887865,0.0020467836257309635,0.008955018254460434,0.010991756182862966
2017-03-30,142.41,876.34,34.23,148.06,849.48,-0.0016824395373291612,0.002310366913715889,-0.0011672016340824598,0.010855465282993082,-0.0004588937131561055
2017-03-31,142.05,886.54,34.16,147.81,847.8,-0.0025279123657045988,0.011639318072893978,-0.002044989775051187,-0.001688504660272816,-0.001977680463342346
2017-04-03,142.28,891.51,34.17,146.92,856.75,0.001619148187257835,0.005606064024183954,0.0002927400468386576,-0.006021243488262051,0.010556735079028101
2017-04-04,141.73,906.83,34.43,145.5,852.57,-0.003865617093055995,0.017184327713654524,0.007609013754755534,-0.00966512387693974,-0.004878902830463883
2017-04-05,141.85,909.28,34.25,143.62,848.91,0.0008466803076272456,0.0027017191755895897,-0.005227998838222447,-0.012920962199312713,-0.0042929026355608135
